mass_grid_points,covering_radius_h_Mpc,single_mode_hardened_residual_fraction,positive_two_mode_hardened_residual_fraction,signed_out_of_class_hardened_residual_fraction
81,0.010263243519317067,1.9366285296743942e-08,1.2909990499917886e-10,0.1740942882761668
161,0.005164967876110038,5.279736515259189e-10,8.156314475236107e-12,0.17409157433458167
321,0.0025908747278743927,7.49313338679888e-11,5.070385242280149e-13,0.17409013106640533
641,0.0012975418826086105,2.2225191613775006e-12,1.5486193114154363e-12,0.17409008146430135
