mode,mass_squared,boundary_residue,normalized_weight,cumulative_normalized_weight
205,414770.29162239586,3.3485716240481106e-08,4.0182859488577324e-07,0.99991782566955878
206,418826.69903124403,3.3161401615198998e-08,3.9793681938238797e-07,0.99991822360637816
207,422902.84564889444,3.284177582340245e-08,3.941013098808294e-07,0.99991861770768808
208,426998.73147534725,3.2526749024577018e-08,3.9032098829492422e-07,0.99991900802867639
209,431114.35651060176,3.2216233134129712e-08,3.8659479760955657e-07,0.99991939462347401
210,435249.72075465875,3.1910142710708339e-08,3.8292171252850007e-07,0.99991977754518657
211,439404.82420751796,3.1608393988614243e-08,3.7930072786337095e-07,0.9999201568459144
212,443579.66686917894,3.131090507530041e-08,3.7573086090360489e-07,0.99992053257677527
213,447774.24873964267,3.1017596482831819e-08,3.7221115779398183e-07,0.99992090478793305
214,451988.56981890817,3.0728389953180698e-08,3.6874067943816838e-07,0.99992127352861249
215,456222.63010697585,3.0443209448042743e-08,3.6531851337651292e-07,0.99992163884712582
216,460476.42960384587,3.0161980658950429e-08,3.6194376790740514e-07,0.99992200079089377
217,464749.96830951807,2.9884630864230668e-08,3.5861557037076801e-07,0.99992235940646412
218,469043.24622399232,2.9611089011011516e-08,3.553330681321382e-07,0.9999227147395322
219,473356.26334726857,2.9341285684610935e-08,3.520954282153312e-07,0.99992306683496046
220,477689.01967934723,2.9075153188216551e-08,3.4890183825859858e-07,0.99992341573679877
221,482041.51522022812,2.8812625183553199e-08,3.4575150220263837e-07,0.99992376148830098
222,486413.74996991124,2.8553636884430797e-08,3.4264364261316957e-07,0.99992410413194355
223,490805.72392839624,2.829812481216558e-08,3.3957749774598695e-07,0.99992444370944134
224,495217.43709568365,2.8046027203584283e-08,3.3655232644301141e-07,0.99992478026176779
225,499648.889471773,2.7797283335753138e-08,3.3356740002903765e-07,0.99992511382916782
226,504100.08105666476,2.7551834149448297e-08,3.3062200979337956e-07,0.99992544445117759
227,508571.01185035857,2.7309621580654687e-08,3.2771545896785623e-07,0.99992577216663658
228,513061.68185285467,2.7070589073433931e-08,3.2484706888120719e-07,0.99992609701370549
229,517572.09106415289,2.6834681131060474e-08,3.2201617357272568e-07,0.99992641902987911
230,522102.23948425316,2.6601843508075232e-08,3.1922212209690278e-07,0.99992673825200118
231,526652.12711315567,2.6372023188338742e-08,3.1646427826006492e-07,0.99992705471627941
